Area,Average Price,Projected Growth
Building,22000000.0,9.8
Villa,1850000.0,12.5
Land,3700000.0,8.5
Villa,1950000.0,12.5
Villa,9200000.0,12.5
Land,7275000.0,8.5
Villa,10900000.0,12.5
Land,6120240.0,8.5
Villa,4750000.0,12.5
Villa,4600000.0,12.5
Villa,4950000.0,12.5
Building,5925230.0,9.8
Building,13000000.0,9.8
Villa,3250000.0,12.5
Villa,1900000.0,12.5
Villa,1500000.0,12.5
Villa,2200000.0,12.5
Villa,3650000.0,12.5
Villa,7000000.0,12.5
Villa,4000000.0,12.5
Villa,3135000.0,12.5
Villa,4379486.0,12.5
Villa,3950000.0,12.5
Villa,5100000.0,12.5
Land,1249506.0,8.5
Villa,3040000.0,12.5
Villa,2000000.0,12.5
Villa,4125000.0,12.5
Villa,1800000.0,12.5
Villa,3500000.0,12.5
Villa,3000000.0,12.5
Land,1440000.0,8.5
Villa,4800000.0,12.5
Villa,2250000.0,12.5
Villa,2900000.0,12.5
Villa,3550000.0,12.5
Villa,3000000.0,12.5
Villa,1100000.0,12.5
Villa,14000000.0,12.5
Villa,1350000.0,12.5
Land,1200000.0,8.5
Villa,750000.0,12.5
Land,6241856.0,8.5
Land,810000.0,8.5
Land,7500000.0,8.5
Land,4250000.0,8.5
Land,3267643.0,8.5
Land,2608000.0,8.5
Land,1727376.0,8.5
Villa,1780000.0,12.5
Villa,2475000.0,12.5
Land,261200.0,8.5
Villa,1900000.0,12.5
Villa,2475000.0,12.5
Villa,1525000.0,12.5
Villa,2750000.0,12.5
Villa,2950000.0,12.5
Villa,1600000.0,12.5
Villa,1650000.0,12.5
Villa,2070000.0,12.5
Villa,2150000.0,12.5
Villa,2200000.0,12.5
Villa,7000000.0,12.5
Villa,1700000.0,12.5
Villa,1800000.0,12.5
Villa,1600000.0,12.5
Villa,3750000.0,12.5
Villa,2075000.0,12.5
Villa,3270000.0,12.5
Villa,1800000.0,12.5
Villa,1480000.0,12.5
Villa,4044499.0,12.5
Villa,2100000.0,12.5
Villa,2600000.0,12.5
Unit,1450000.0,10.2
Unit,1200000.0,10.2
Unit,480000.0,10.2
Unit,1450000.0,10.2
Unit,1440000.0,10.2
Unit,599000.0,10.2
Unit,2900000.0,10.2
Unit,11400000.0,10.2
Unit,1807312.0,10.2
Unit,900000.0,10.2
Unit,5100000.0,10.2
Unit,205000.0,10.2
Unit,380000.0,10.2
Unit,1640000.0,10.2
Unit,280000.0,10.2
Unit,2000000.0,10.2
Unit,415000.0,10.2
Unit,275000.0,10.2
Unit,6000000.0,10.2
Unit,1930000.0,10.2
Unit,1850000.0,10.2
Unit,1950000.0,10.2
Unit,395000.0,10.2
Unit,2600000.0,10.2
Unit,370000.0,10.2
Unit,2950000.0,10.2
Unit,2375000.0,10.2
Unit,1250000.0,10.2
Unit,460000.0,10.2
Unit,1500000.0,10.2
Unit,1800000.0,10.2
Unit,1200000.0,10.2
Unit,2900000.0,10.2
Unit,2550000.0,10.2
Unit,1605000.0,10.2
Unit,212000.0,10.2
Unit,320000.0,10.2
Unit,490000.0,10.2
Unit,1225000.0,10.2
Unit,3900000.0,10.2
Unit,1800000.0,10.2
Unit,2665000.0,10.2
Unit,1325000.0,10.2
Unit,860000.0,10.2
Unit,775000.0,10.2
Unit,635000.0,10.2
Unit,450000.0,10.2
Unit,875000.0,10.2
Unit,760000.0,10.2
Unit,1083799.0,10.2
Unit,769000.0,10.2
Unit,1255000.0,10.2
Unit,770000.0,10.2
Unit,2300000.0,10.2
Unit,610000.0,10.2
Unit,375000.0,10.2
Unit,655000.0,10.2
Unit,1025000.0,10.2
Unit,560000.0,10.2
Unit,250000.0,10.2
Unit,600000.0,10.2
Unit,1700000.0,10.2
Unit,380000.0,10.2
Unit,1150000.0,10.2
Unit,399000.0,10.2
Unit,2056927.0,10.2
Unit,327000.0,10.2
Unit,1480000.0,10.2
Unit,1130000.0,10.2
Unit,13354169.0,10.2
Unit,3500000.0,10.2
Unit,450000.0,10.2
Unit,600000.0,10.2
Unit,3641639.0,10.2
Unit,890000.0,10.2
Unit,615305.0,10.2
Unit,1225000.0,10.2
Unit,1745910.0,10.2
Unit,1338750.0,10.2
Unit,665286.0,10.2
Unit,719200.0,10.2
Unit,1285000.0,10.2
Unit,675016.0,10.2
Unit,635000.0,10.2
Unit,1150000.0,10.2
Unit,405000.0,10.2
Unit,357730.0,10.2
Unit,562250.0,10.2
Unit,655728.0,10.2
Unit,860000.0,10.2
Unit,1500000.0,10.2
Unit,400000.0,10.2
Unit,390000.0,10.2
Unit,1350000.0,10.2
Unit,275000.0,10.2
Unit,2408000.0,10.2
Unit,420000.0,10.2
Unit,1021954.0,10.2
Unit,1635000.0,10.2
Unit,630000.0,10.2
Unit,1700000.0,10.2
Unit,3200000.0,10.2
Unit,770000.0,10.2
Unit,770000.0,10.2
Unit,792370.0,10.2
Unit,200000.0,10.2
Unit,3825000.0,10.2
Unit,525000.0,10.2
Unit,447000.0,10.2
Unit,1583832.0,10.2
Unit,790000.0,10.2
Unit,2850000.0,10.2
Unit,11250000.0,10.2
Unit,2870000.0,10.2
Unit,6150000.0,10.2
Unit,1108332.0,10.2
Unit,485000.0,10.2
Unit,250000.0,10.2
Unit,425000.0,10.2
Unit,549466.0,10.2
Unit,3500000.0,10.2
Unit,500000.0,10.2
Unit,310000.0,10.2
Unit,1750000.0,10.2
Unit,1750000.0,10.2
Unit,4000000.0,10.2
Unit,371000.0,10.2
Unit,450000.0,10.2
Unit,271937.0,10.2
Unit,570000.0,10.2
Unit,350000.0,10.2
Unit,240000.0,10.2
Unit,1680000.0,10.2
Unit,370000.0,10.2
Unit,480000.0,10.2
Unit,2750000.0,10.2
Unit,520000.0,10.2
Unit,3525366.0,10.2
Unit,360000.0,10.2
Unit,375000.0,10.2
Unit,248000.0,10.2
Unit,300000.0,10.2
Unit,2350000.0,10.2
Unit,3700000.0,10.2
Unit,1000000.0,10.2
Unit,934575.0,10.2
Unit,340000.0,10.2
Unit,2150000.0,10.2
Unit,970044.0,10.2
Unit,780000.0,10.2
Unit,2500000.0,10.2
Unit,2450000.0,10.2
Unit,286137.0,10.2
Unit,450000.0,10.2
Unit,2850000.0,10.2
Unit,1800000.0,10.2
Unit,1646984.0,10.2
Unit,240000.0,10.2
Unit,785000.0,10.2
Unit,625000.0,10.2
Unit,900000.0,10.2
Unit,299473.0,10.2
Unit,2650000.0,10.2
Unit,1460400.0,10.2
Unit,2500000.0,10.2
Unit,2905000.0,10.2
Unit,966000.0,10.2
Unit,790000.0,10.2
Unit,1600000.0,10.2
Unit,980000.0,10.2
Unit,1480200.0,10.2
Unit,650000.0,10.2
Unit,700000.0,10.2
Unit,1080000.0,10.2
Unit,1150828.0,10.2
Unit,2125000.0,10.2
Unit,1300000.0,10.2
Unit,1760976.0,10.2
Unit,565000.0,10.2
Unit,4100000.0,10.2
Unit,1090000.0,10.2
Unit,4500000.0,10.2
Unit,2960000.0,10.2
Unit,6720000.0,10.2
Unit,980000.0,10.2
Unit,730000.0,10.2
Unit,1912906.0,10.2
Unit,900000.0,10.2
Unit,862243.0,10.2
Unit,288993.0,10.2
Unit,1712448.0,10.2
Unit,4200000.0,10.2
Unit,605000.0,10.2
Unit,700000.0,10.2
Unit,335000.0,10.2
Unit,11730000.0,10.2
Unit,425000.0,10.2
Unit,850000.0,10.2
Unit,1700000.0,10.2
Unit,925000.0,10.2
Unit,900000.0,10.2
Unit,700000.0,10.2
Unit,900000.0,10.2
Unit,2530000.0,10.2
Unit,550000.0,10.2
Unit,1285000.0,10.2
Unit,538000.0,10.2
Unit,595000.0,10.2
Unit,972800.0,10.2
Unit,642400.0,10.2
Unit,4895238.0,10.2
Unit,455000.0,10.2
Unit,1880000.0,10.2
Unit,826228.0,10.2
Unit,234463.0,10.2
Unit,1920000.0,10.2
Unit,415000.0,10.2
Unit,1331012.0,10.2
Unit,2835300.0,10.2
Unit,400450.0,10.2
Unit,419440.0,10.2
Unit,1925000.0,10.2
Unit,438095.0,10.2
Villa,5800000.0,12.5
Villa,1705000.0,12.5
Villa,4650000.0,12.5
Land,1040000.0,8.5
Villa,6600000.0,12.5
Land,5199903.0,8.5
Villa,141610.0,12.5
Villa,5700000.0,12.5
Villa,3615000.0,12.5
Land,1289000.0,8.5
Villa,2200000.0,12.5
Villa,40739299.0,12.5
Villa,4900000.0,12.5
Villa,9150000.0,12.5
Villa,7475000.0,12.5
Building,10600000.0,9.8
Villa,3019275.0,12.5
Villa,4350000.0,12.5
Villa,2900000.0,12.5
Land,3800000.0,8.5
Land,1200000.0,8.5
Villa,2575000.0,12.5
Villa,3700000.0,12.5
Villa,3208000.0,12.5
Villa,3300000.0,12.5
Villa,1850000.0,12.5
Land,10854193.0,8.5
Villa,8450000.0,12.5
Villa,4900000.0,12.5
Villa,3000000.0,12.5
Villa,1600000.0,12.5
Land,36500000.0,8.5
Villa,1033000.0,12.5
Villa,7150000.0,12.5
Land,16000000.0,8.5
Villa,750000.0,12.5
Villa,3500000.0,12.5
Land,1960000.0,8.5
Land,1150000.0,8.5
Land,3000000.0,8.5
Land,2648000.0,8.5
Land,3220000.0,8.5
Land,2628000.0,8.5
Land,3300000.0,8.5
Land,2431000.0,8.5
Land,242430.0,8.5
Villa,2620000.0,12.5
Villa,1950000.0,12.5
Villa,2575000.0,12.5
Villa,2800000.0,12.5
Villa,4850000.0,12.5
Villa,1733000.0,12.5
Villa,3069899.0,12.5
Villa,2300000.0,12.5
Villa,1800000.0,12.5
Villa,3500000.0,12.5
Villa,3302250.0,12.5
Villa,1200000.0,12.5
Villa,1100000.0,12.5
Villa,1275000.0,12.5
Villa,1570000.0,12.5
Villa,2792286.0,12.5
Villa,2965823.0,12.5
Villa,2109215.0,12.5
Villa,3500000.0,12.5
Unit,1730000.0,10.2
Unit,430000.0,10.2
Unit,1300000.0,10.2
Unit,1700000.0,10.2
Unit,2000000.0,10.2
Unit,2500000.0,10.2
Unit,599000.0,10.2
Unit,699000.0,10.2
Unit,3700000.0,10.2
Unit,675000.0,10.2
Unit,1375000.0,10.2
Unit,630812.0,10.2
Unit,1300000.0,10.2
Unit,440000.0,10.2
Unit,200000.0,10.2
Unit,307553.0,10.2
Unit,1550000.0,10.2
Unit,200000.0,10.2
Unit,253500.0,10.2
Unit,380000.0,10.2
Unit,335000.0,10.2
Unit,1415000.0,10.2
Unit,190000.0,10.2
Unit,211850.0,10.2
Unit,207000.0,10.2
Unit,255000.0,10.2
Unit,225000.0,10.2
Unit,480000.0,10.2
Unit,1234500.0,10.2
Unit,1400000.0,10.2
Unit,2650000.0,10.2
Unit,2150000.0,10.2
Unit,1900000.0,10.2
Unit,452000.0,10.2
Unit,330000.0,10.2
Unit,6200000.0,10.2
Unit,199057.0,10.2
Unit,470000.0,10.2
Unit,320000.0,10.2
Unit,285000.0,10.2
Unit,2500000.0,10.2
Unit,433000.0,10.2
Unit,1370000.0,10.2
Unit,1150000.0,10.2
Unit,600000.0,10.2
Unit,225000.0,10.2
Unit,400000.0,10.2
Unit,1360288.0,10.2
Unit,610000.0,10.2
Unit,3680000.0,10.2
Unit,3263519.0,10.2
Unit,1500000.0,10.2
Unit,500000.0,10.2
Unit,710000.0,10.2
Unit,2575000.0,10.2
Unit,250000.0,10.2
Unit,220000.0,10.2
Unit,575000.0,10.2
Unit,2250000.0,10.2
Unit,930600.0,10.2
Unit,535000.0,10.2
Unit,1600000.0,10.2
Unit,803706.0,10.2
Unit,2350000.0,10.2
Unit,12000000.0,10.2
Unit,1610000.0,10.2
Unit,3840000.0,10.2
Unit,11211193.0,10.2
Unit,320000.0,10.2
Unit,3350000.0,10.2
Unit,1300000.0,10.2
Unit,975000.0,10.2
Unit,650000.0,10.2
Unit,3800000.0,10.2
Unit,850000.0,10.2
Unit,420000.0,10.2
Unit,1530000.0,10.2
Unit,2050000.0,10.2
Unit,1050000.0,10.2
Unit,710000.0,10.2
Unit,455523.0,10.2
Unit,1000350.0,10.2
Unit,650000.0,10.2
Unit,765576.0,10.2
Unit,480000.0,10.2
Unit,220000.0,10.2
Unit,225000.0,10.2
Unit,257000.0,10.2
Unit,625000.0,10.2
Unit,550000.0,10.2
Unit,1975000.0,10.2
Unit,1670000.0,10.2
Unit,950000.0,10.2
Unit,3350000.0,10.2
Unit,825000.0,10.2
Unit,420000.0,10.2
Unit,290000.0,10.2
Unit,21976.0,10.2
Unit,1050000.0,10.2
Unit,595000.0,10.2
Unit,298590.0,10.2
Unit,3761000.0,10.2
Unit,1100000.0,10.2
Unit,1755000.0,10.2
Unit,975000.0,10.2
Unit,550000.0,10.2
Unit,1220000.0,10.2
Unit,1300000.0,10.2
Unit,632000.0,10.2
Unit,470000.0,10.2
Unit,1785000.0,10.2
Unit,6600000.0,10.2
Unit,2900000.0,10.2
Unit,1561282.0,10.2
Unit,3783653.0,10.2
Unit,360000.0,10.2
Unit,1583051.0,10.2
Unit,187670.0,10.2
Unit,2800000.0,10.2
Unit,660000.0,10.2
Unit,1020000.0,10.2
Unit,420000.0,10.2
Unit,2100000.0,10.2
Unit,295000.0,10.2
Unit,850000.0,10.2
Unit,524400.0,10.2
Unit,800000.0,10.2
Unit,300000.0,10.2
Unit,410000.0,10.2
Unit,420000.0,10.2
Unit,550000.0,10.2
Unit,231000.0,10.2
Unit,245000.0,10.2
Unit,1850000.0,10.2
Unit,1550000.0,10.2
